name,logo_src,location,type,avg_tuition_annually,avg_tuition_after_aid,avg_aid_pack,grad_rate,address,phone_number,website,application_link,acceptance_rate,reg_app_due_date,SAT_range,ACT_range,required_GPA,required_rank,required_ACT_SAT,student_to_faculty_ratio,retention_rate_majors_avail,financial_aid_app_due_date,avg_housing_cost,undergrad_pop,campus_life,majors_available
Pace University,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F4134_Logo.gif&w=3840&q=75,"New York, NY",4-year • Private,$33K,"$33,363","$39,284",61%,"1 Pace Plz, New York, NY 10038",,pace.edu,https://www.pace.edu/apply-now,75%,February 15,1190–1340*,25–30*,Recommended,Recommended,Considered if submitted,16:1,77%,Not available,"$24,385","5,407",Medium • Urban,109
P&A Scholars Beauty School,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Detroit, MI",Less than 2-year • Career and Technical,$14K,"$13,868",Not available,Not available,"12001 Grand River Ave, Detroit, MI 48204",Phone number not available,pandascholars.com,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,20:1,83%,Not available,Not available,Not available,Urban,4
Ozarks Technical Community College,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Springfield, MO",4-year • Public,$7K,"$6,525",Not available,Not available,"1001 E Chestnut Expy, Springfield, MO 65802",,otc.edu,https://apply.otc.edu/,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,16:1,59%,Not available,Not available,Not available,Urban,57
Ozarka College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F1586_Logo.gif&w=3840&q=75,"Melbourne, AR",2-year • Public,$4K,"$3,991",Not available,Not available,"218 College Dr, Melbourne, AR 72556",,ozarka.edu,https://otc.ozarka.edu/application/online_app_start.cfm,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,9:1,68%,Not available,"$5,705",Not available,Rural,30
Ozark Christian College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2600_Logo.gif&w=3840&q=75,"Joplin, MO",4-year • Private,$18K,"$17,604","$10,151",51%,"1111 N Main St, Joplin, MO 64801",,occ.edu,https://www.occ.edu/apply,98%,August 1,720–1060*,18–27*,Required,Neither required nor recommended,Neither required nor recommended,12:1,77%,Not available,"$7,630",612,Small • Urban,9
Oxnard College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F756_Logo.gif&w=3840&q=75,"Oxnard, CA",2-year • Public,$2K,"$1,644",Not available,Not available,"4000 S Rose Ave, Oxnard, CA 93033",,oxnardcollege.edu,https://www.oxnardcollege.edu/apply-and-enroll,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,27:1,71%,Not available,Not available,Not available,Suburban,60
Oxford Brookes University Headington Campus,https://bigfuture.collegeboard.org/images/icons/Default-bf-illus-school-92.svg,"Oxford, United Kingdom",International,Not available,Not available,Not available,Not available,"International Office, Headington Campus, Oxford, United Kingdom OX3 0BP",Phone number not available,brookes.ac.uk,,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Urban,Not available
Owensboro Community and Technical College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F3525_Logo.gif&w=3840&q=75,"Owensboro, KY",2-year • Public,$8K,"$7,640","$7,268",Not available,"4800 New Hartford Rd, Owensboro, KY 42303",,owensboro.kctcs.edu,https://owensboro.kctcs.edu/admissions/,Not available,August 14,Not available*,Not available*,Neither required nor recommended,Neither required nor recommended,Not available,20:1,72%,July 15,Not available,"2,551",Small • Suburban,40
Owens Community College,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F939_Logo.gif&w=3840&q=75,"Perrysburg, OH",2-year • Public,$9K,"$8,707",Not available,Not available,"30335 Oregon Rd, Perrysburg, OH 43551",Phone number not available,owens.edu,https://bannerssb.owens.edu/prod/bwskalog.P_disploginnon,Not available,Not available,Not available*,Not available*,Not available,Not available,Not available,16:1,62%,Not available,Not available,Not available,Suburban,118
Our Lady of the Lake University of San Antonio,https://bigfuture.collegeboard.org/_next/image?url=https%3A%2F%2Fsecure-media.collegeboard.org%2FCollegePlanning%2Fmedia%2Fimage%2Flogo%2F2588_Logo.gif&w=3840&q=75,"San Antonio, TX",4-year • Private,$19K,"$19,100",Not available,38%,"411 SW 24th St, San Antonio, TX 78207",Phone number not available,ollusa.edu,https://myapp.ollusa.edu/apply/?_ga=2.179512804.1567905272.1652132089-1016762289.1652132088,66%,Not available,Not available*,Not available*,Required,Recommended,Required,11:1,57%,Not available,"$8,957",Not available,Urban,66
